Thời gian cào:    Fri Nov 07 2025 14:09:34 GMT+0700 (Indochina Time)
Post URL:            https://www.tiktok.com/@hoanggleee/video/7386865350735875344
Người đăng:          Hoangglee
Tag người đăng:      @hoanggleee
URL người đăng:      https://www.tiktok.com/@hoanggleee
Thời gian đăng:      2-7-2024
Số lượt tym:         26.5K
Số lượt comment:     317
Số lượt lưu:         499
Số lượt share:       N/A
Mô tả của bài đăng:  "Học phí ở NEU đắt không? #fyp #xuhuong #learnontiktok #hoccungtiktok #daihoc #neu. ẩn bớt"
Số bình luận cấp 1:  199
Số bình luận cấp 2:  23
Tổng số bình luận thực tế đã load:  222
Số bình luận TikTok hiển thị:       317
Chênh lệch số bình luận:            95
STT,Tên,Tag tên,URL,Comment,Time,Likes,Level Comment,Replied To Tag Name,Number of Replies
56,"Phúc ước đỗ LCH🫡💚","Phúc ước đỗ LCH🫡💚",https://www.tiktok.com/@Phúc ước đỗ LCH🫡💚,"k bạn a mình nói vui vẻ thôi😅",22-7-2024,0,Yes,"phucquadz123?lang=vi-VN",0
57,"眠いキツネ","眠いキツネ",https://www.tiktok.com/@眠いキツネ,"tớ cơ sở Vĩnh phuc tầm 40 thôi",5-7-2024,0,Yes,"phucquadz123?lang=vi-VN",0
58,"Bách Hoa Điêu Linh","Bách Hoa Điêu Linh",https://www.tiktok.com/@Bách Hoa Điêu Linh,"Đâu ra, 87tr",3-7-2024,0,Yes,"phucquadz123?lang=vi-VN",0
59,"Phúc ước đỗ LCH🫡💚","Phúc ước đỗ LCH🫡💚",https://www.tiktok.com/@Phúc ước đỗ LCH🫡💚,"ờ tôi tính cả ăn cả tiền nhà bn ạ😅",3-7-2024,0,Yes,"phucquadz123?lang=vi-VN",0
60,"Bách Hoa Điêu Linh","Bách Hoa Điêu Linh",https://www.tiktok.com/@Bách Hoa Điêu Linh,"Thêm tiền ăn thì tưng đó thật 🥲 bro học cơ sở nào thế",3-7-2024,0,Yes,"phucquadz123?lang=vi-VN",0
61,"MeiiChagg","MeiiChagg",https://www.tiktok.com/@MeiiChagg,"Ch học luật ở kinh tế là đc r",19-8-2024,0,No,---,0
62,"Quân Vũ","Quân Vũ",https://www.tiktok.com/@Quân Vũ,"Trường H nào đó cũng 415k 1 tín nhưng nhân hệ số ảo ma 🙂",9-7-2024,0,No,---,0
63,"nhân vật phụ","nhân vật phụ",https://www.tiktok.com/@nhân vật phụ,"rẻ chán luôn ấy, bằng nửa mấy trường khác",20-9-2024,0,No,---,0
64,"Boiz mét tém 4","Boiz mét tém 4",https://www.tiktok.com/@Boiz mét tém 4,"đến năm 2024 là 600k 1 tín🥹",19-7-2024,0,No,---,0
65,"Vũ Minh Điền","Vũ Minh Điền",https://www.tiktok.com/@Vũ Minh Điền,"C em so đẹppp",12-8-2024,0,No,---,0
66,"Tuấn Anh","Tuấn Anh",https://www.tiktok.com/@Tuấn Anh,"rẻ hơn cả VIU năm 1 320/ tín mà năm 2 470k/tín 😢",23-8-2024,0,No,---,0
67,"Bee Pi","Bee Pi",https://www.tiktok.com/@Bee Pi,"neu h 600k/ tín r 😞",8-7-2024,0,No,---,0
68,"dohieu0712","dohieu0712",https://www.tiktok.com/@dohieu0712,"Rẻ hơn dhcn",26-7-2024,0,No,---,0
69,"qminhh","qminhh",https://www.tiktok.com/@qminhh,"bằng 1 năm fpt chỗ e 😞",13-7-2024,0,No,---,0
70,"Agnes Original","Agnes Original",https://www.tiktok.com/@Agnes Original,"Xin vía đỗ Neu của anh đẹp trai ạ🍀🍀🍀",2-7-2024,2,No,---,0
71,"Đưa em về nhà","Đưa em về nhà",https://www.tiktok.com/@Đưa em về nhà,"Rẻ hơn nông nghiệp nhé :))",8-7-2024,0,No,---,0
72,"Kayn","Kayn",https://www.tiktok.com/@Kayn,"cx bth t cx vậy😂😂",8-7-2024,0,No,---,0
73,"YQHer🥼🎓 học ở MTA","YQHer🥼🎓 học ở MTA",https://www.tiktok.com/@YQHer🥼🎓 học ở MTA,"e xin lỗi nhưng tín chí là gì đc k ạ",17-7-2024,0,No,---,0
74,"Hồ Bảo Cát","Hồ Bảo Cát",https://www.tiktok.com/@Hồ Bảo Cát,"c xinh này",9-11-2024,0,No,---,0
75,"Trần Dạ Anh","Trần Dạ Anh",https://www.tiktok.com/@Trần Dạ Anh,"Mĩ nhân xứ Lạng",9-10-2024,0,No,---,0
76,"Phú đẹp zai nhất việt nam","Phú đẹp zai nhất việt nam",https://www.tiktok.com/@Phú đẹp zai nhất việt nam,"😂😂Vnu uet 40tr/năm ác",11-8-2024,0,No,---,0
77,"Thái Vũ","Thái Vũ",https://www.tiktok.com/@Thái Vũ,"Học kinh tế ở hust chào học kỹ thuật ở neu 🙄",3-8-2024,1,No,---,0
78,"Thuý Linh","Thuý Linh",https://www.tiktok.com/@Thuý Linh,"1 năm neu 51tr đây🤣",9-7-2024,0,No,---,0
79,"air","air",https://www.tiktok.com/@air,"bước 2 chia ý tưởng ra làm nhiều phần",14-7-2024,0,No,---,0
80,"Dưa hấu không ngọt","Dưa hấu không ngọt",https://www.tiktok.com/@Dưa hấu không ngọt,"thế mà trường t k phải trường top mà 504k 1tín :)) csvc thì như hạch",19-8-2024,0,No,---,0
81,"Nguyễn Xuân Hải","Nguyễn Xuân Hải",https://www.tiktok.com/@Nguyễn Xuân Hải,"thế rẻ đấy e",3-7-2024,1,No,---,0
82,"Lấy vợ thì đổi tên °♡°","Lấy vợ thì đổi tên °♡°",https://www.tiktok.com/@Lấy vợ thì đổi tên °♡°,"điểm chuẩn thang 40 là nhân 2 toán ạ?",17-9-2024,0,No,---,0
83,"Evernice","Evernice",https://www.tiktok.com/@Evernice,"ui xoi, uet năm nay chắc 1tr 1 tín =))",25-7-2024,0,No,---,0
84,"Baramera","Baramera",https://www.tiktok.com/@Baramera,"mới 2 năm mà 53tr rồi anh ơi, NEU còn rẻ hơn trường em học nữa",2-7-2024,1,No,---,0
85,"hoàng.","hoàng.",https://www.tiktok.com/@hoàng.,"Sao rẻ thế ạ:(((",2-7-2024,1,No,---,0
86,"Nguyen Khoi","Nguyen Khoi",https://www.tiktok.com/@Nguyen Khoi,"s rẻ v",21-7-2024,0,No,---,0
87,"kemniie","kemniie",https://www.tiktok.com/@kemniie,"26,1 có hi vọng neu không ạ mn🥺🥺",22-7-2024,0,No,---,0
88,"Ng.Văn Trường","Ng.Văn Trường",https://www.tiktok.com/@Ng.Văn Trường,"bkđn 732k 1 tín🙂",26-7-2024,0,No,---,0
89,"Đỗ Hạc Phong","Đỗ Hạc Phong",https://www.tiktok.com/@Đỗ Hạc Phong,"Ai xinh lại c bây giờ 😘",10-9-2024,0,No,---,0
90,"Hồ Hạnh Liêm","Hồ Hạnh Liêm",https://www.tiktok.com/@Hồ Hạnh Liêm,"Tươi quá chị ơiii",8-10-2024,0,No,---,0
91,"Bùi Quế Duyen","Bùi Quế Duyen",https://www.tiktok.com/@Bùi Quế Duyen,"Đẹp quá c ơi 😍",27-11-2024,0,No,---,0
92,"Pong","Pong",https://www.tiktok.com/@Pong,"ko nên học nhé",16-7-2024,0,No,---,0
93,"Green","Green",https://www.tiktok.com/@Green,"cái đó là rẻ r đó ah",20-8-2024,0,No,---,0
94,"Huỳnh Bảo Thái","Huỳnh Bảo Thái",https://www.tiktok.com/@Huỳnh Bảo Thái,"Body nhìn mê luôn",24-10-2024,0,No,---,0
95,"quyen","quyen",https://www.tiktok.com/@quyen,"rẻ phết",3-8-2024,0,No,---,0
96,"huyhoanglsfa","huyhoanglsfa",https://www.tiktok.com/@huyhoanglsfa,"năm anh thi điểm bao nhiêu ạ em hỏi thật do thấy bách khoa hơi ...",2-7-2024,1,No,---,2
97,"Hoangglee","Hoangglee",https://www.tiktok.com/@Hoangglee,"a thi được 24.95 điểm, vừa đủ đỗ",2-7-2024,1,Yes,"huyhoanglsfa?lang=vi-VN",0
98,"huyhoanglsfa","huyhoanglsfa",https://www.tiktok.com/@huyhoanglsfa,"em cảm ơn ạ 🥰",2-7-2024,0,Yes,"huyhoanglsfa?lang=vi-VN",0
99,"Vũ Hồng Vinh","Vũ Hồng Vinh",https://www.tiktok.com/@Vũ Hồng Vinh,"Quá xinh luôn",29-10-2024,0,No,---,0
100,"Diệp","Diệp",https://www.tiktok.com/@Diệp,"""Nó còn rẻ hơn nữa cơ nếu mình kh học lại mấy lần""☺️、a nì hài",10-7-2024,0,No,---,0
101,"Nguyễn Thành Nghĩa","Nguyễn Thành Nghĩa",https://www.tiktok.com/@Nguyễn Thành Nghĩa,"Xinh xỉu lun",22-8-2024,0,No,---,0
102,"Trương Trần Quốc Việt🐧","Trương Trần Quốc Việt🐧",https://www.tiktok.com/@Trương Trần Quốc Việt🐧,"Sao trong ảnh ghi học phí 2019-2020 là học phí 1 năm 63tr mà anh lại nói là 4 năm:))) là sao",1-8-2024,0,No,---,0
103,"Taylor Switch","Taylor Switch",https://www.tiktok.com/@Taylor Switch,"Em khoá dưới nè anh =))) ai cũng hỏi NEU có IT à",1-8-2024,0,No,---,0
104,"Vũ Thiên Đăng","Vũ Thiên Đăng",https://www.tiktok.com/@Vũ Thiên Đăng,"Xinh đẹp lắm bé iu",23-7-2024,0,No,---,0
